Save Time: 2025-02-27 14:49:46
Units:(mV)
,CH1,CH2
Status:,Stop,Stop
Frequency:,25.888 kHz,73.925 kHz
Period:,38.629 uS,13.527 uS
PK-PK:,3.560 V,70000.000 V


1,1440.00,-12400000.00
2,1480.00,7200000.00
3,1440.00,-8000000.00
4,1480.00,10000000.00
5,1440.00,-8400000.00
6,1480.00,4400000.00
7,1400.00,-5200000.00
8,1440.00,8000000.00
9,1400.00,-8000000.00
10,1400.00,3200000.00
11,1360.00,-3200000.00
12,1400.00,2800000.00
13,1320.00,-2800000.00
14,1320.00,400000.00
15,1280.00,-800000.00
16,1280.00,0.00
17,1240.00,-400000.00
18,1240.00,0.00
19,1160.00,-400000.00
20,1200.00,0.00
21,1120.00,-400000.00
22,1240.00,0.00
23,920.00,-400000.00
24,1120.00,0.00
25,920.00,0.00
26,1040.00,0.00
27,920.00,-400000.00
28,1000.00,0.00
29,800.00,0.00
30,1040.00,0.00
31,760.00,0.00
32,880.00,0.00
33,720.00,0.00
34,840.00,1600000.00
35,680.00,-2000000.00
36,760.00,24800000.00
37,640.00,-27200000.00
38,800.00,16000000.00
39,560.00,-16800000.00
40,720.00,7600000.00
41,320.00,-8400000.00
42,360.00,38400000.00
43,-1480.00,-31600000.00
44,-1400.00,21200000.00
45,-1480.00,-21600000.00
46,-1320.00,15600000.00
47,-1560.00,-17200000.00
48,-1440.00,10800000.00
49,-1480.00,-11200000.00
50,-1480.00,10400000.00
51,-1480.00,-6000000.00
52,-1440.00,10400000.00
53,-1480.00,-11200000.00
54,-1440.00,7200000.00
55,-1480.00,-4000000.00
56,-1400.00,3200000.00
57,-1480.00,-3200000.00
58,-1360.00,1200000.00
59,-1440.00,-800000.00
60,-1320.00,12000000.00
61,-1400.00,-12400000.00
62,-1280.00,7600000.00
63,-1360.00,-7200000.00
64,-1240.00,2400000.00
65,-1320.00,-2000000.00
66,-1200.00,800000.00
67,-1240.00,-800000.00
68,-1120.00,400000.00
69,-1200.00,0.00
70,-1040.00,400000.00
71,-1200.00,0.00
72,-960.00,400000.00
73,-1120.00,0.00
74,-920.00,400000.00
75,-1040.00,0.00
76,-800.00,400000.00
77,-1000.00,0.00
78,-800.00,400000.00
79,-960.00,0.00
80,-680.00,400000.00
81,-920.00,0.00
82,-720.00,400000.00
83,-800.00,0.00
84,-680.00,4400000.00
85,-840.00,-6800000.00
86,-640.00,18000000.00
87,-760.00,-17600000.00
88,-600.00,14000000.00
89,-720.00,-14000000.00
90,1600.00,10400000.00
91,-640.00,-9200000.00
92,1480.00,15600000.00
93,1400.00,-14000000.00
94,1480.00,10800000.00
95,1400.00,-15600000.00
96,1520.00,8000000.00
97,1440.00,-8800000.00
98,1520.00,9600000.00
99,1480.00,-9200000.00
100,1520.00,8400000.00
101,1440.00,-7600000.00
102,1480.00,6000000.00
103,1440.00,-5200000.00
104,1480.00,14000000.00
105,1440.00,-12800000.00
106,1440.00,10400000.00
107,1400.00,-9600000.00
108,1400.00,9200000.00
109,1360.00,-8800000.00
110,1360.00,4000000.00
111,1320.00,-4000000.00
112,1320.00,1600000.00
113,1240.00,-1600000.00
114,1280.00,400000.00
115,1200.00,-400000.00
116,1240.00,0.00
117,1160.00,-400000.00
118,1320.00,0.00
119,920.00,-400000.00
120,1120.00,0.00
