Save Time: 2025-02-27 15:31:14
Units:(mV)
,CH1,CH2
Status:,Stop,Stop
Frequency:,91.216 kHz,26.923 kHz
Period:,10.963 uS,37.143 uS
PK-PK:,72.000 V ?,1.660 V


1,800.00,-480.00
2,0.00,-520.00
3,800.00,-420.00
4,400.00,-480.00
5,800.00,-380.00
6,0.00,-440.00
7,800.00,-300.00
8,400.00,-380.00
9,800.00,-220.00
10,400.00,-320.00
11,800.00,-140.00
12,400.00,-240.00
13,800.00,-80.00
14,400.00,-160.00
15,15200.00,20.00
16,-15600.00,-80.00
17,11600.00,100.00
18,-11200.00,20.00
19,10400.00,180.00
20,-7200.00,100.00
21,4400.00,280.00
22,-3200.00,180.00
23,2400.00,360.00
24,-800.00,260.00
25,1200.00,440.00
26,0.00,360.00
27,1200.00,500.00
28,400.00,420.00
29,1200.00,560.00
30,400.00,500.00
31,800.00,620.00
32,400.00,560.00
33,1200.00,660.00
34,400.00,600.00
35,10000.00,680.00
36,-10400.00,640.00
37,7200.00,720.00
38,-6000.00,680.00
39,3600.00,720.00
40,-1600.00,680.00
41,2000.00,720.00
42,-400.00,680.00
43,1200.00,880.00
44,400.00,420.00
45,1200.00,620.00
46,400.00,580.00
47,1200.00,600.00
48,400.00,540.00
49,1200.00,560.00
50,400.00,500.00
51,800.00,500.00
52,400.00,440.00
53,1200.00,440.00
54,400.00,380.00
55,800.00,380.00
56,400.00,280.00
57,800.00,300.00
58,400.00,200.00
59,800.00,220.00
60,400.00,140.00
61,21600.00,140.00
62,-18000.00,40.00
63,12800.00,60.00
64,-10400.00,-40.00
65,20000.00,-40.00
66,-16400.00,-120.00
67,9600.00,-120.00
68,-8800.00,-220.00
69,19600.00,-200.00
70,-13600.00,-300.00
71,10800.00,-280.00
72,-10800.00,-360.00
73,5200.00,-300.00
74,-3200.00,-400.00
75,2000.00,-400.00
76,-1200.00,-460.00
77,9600.00,-420.00
78,-6000.00,-540.00
79,4000.00,-480.00
80,-3200.00,-560.00
81,2000.00,-540.00
82,-1200.00,-580.00
83,1200.00,-560.00
84,-400.00,-600.00
85,800.00,-580.00
86,0.00,-600.00
87,800.00,-580.00
88,0.00,-600.00
89,800.00,-580.00
90,0.00,-600.00
91,800.00,-540.00
92,0.00,-580.00
93,800.00,-520.00
94,0.00,-560.00
95,800.00,-460.00
96,0.00,-520.00
97,800.00,-400.00
98,0.00,-480.00
99,800.00,-340.00
100,400.00,-420.00
101,800.00,-260.00
102,400.00,-340.00
103,800.00,-180.00
104,400.00,-280.00
105,800.00,-100.00
106,400.00,-180.00
107,30800.00,0.00
108,-35600.00,-100.00
109,28800.00,100.00
110,-26400.00,0.00
111,15600.00,180.00
112,-16400.00,80.00
113,10400.00,260.00
114,-9600.00,180.00
115,4800.00,360.00
116,-3200.00,260.00
117,2000.00,460.00
118,-1200.00,360.00
119,1600.00,500.00
120,0.00,420.00
121,17600.00,600.00
122,-18000.00,480.00
123,12400.00,620.00
124,-10000.00,560.00
125,5200.00,680.00
126,-3600.00,600.00
127,2800.00,700.00
128,-1200.00,660.00
129,1600.00,720.00
130,0.00,700.00
131,1200.00,740.00
132,400.00,720.00
133,1200.00,740.00
134,400.00,720.00
135,1200.00,740.00
136,400.00,700.00
137,1200.00,720.00
138,400.00,640.00
139,1200.00,680.00
140,400.00,620.00
141,1200.00,640.00
142,800.00,560.00
143,1200.00,580.00
144,400.00,500.00
145,800.00,500.00
146,400.00,440.00
147,800.00,440.00
148,400.00,340.00
149,800.00,360.00
150,400.00,260.00
151,800.00,260.00
152,400.00,160.00
153,20400.00,180.00
154,-17200.00,80.00
155,15600.00,80.00
156,-14800.00,-20.00
157,29600.00,0.00
158,-24800.00,-100.00
159,22000.00,-100.00
160,-22000.00,-200.00
161,9600.00,-200.00
162,-7600.00,-280.00
163,7200.00,-280.00
164,-5200.00,-360.00
165,6000.00,-360.00
166,-4400.00,-440.00
167,4400.00,-320.00
168,-3600.00,-540.00
169,2000.00,-480.00
170,-1200.00,-540.00
171,1200.00,-480.00
172,-400.00,-640.00
173,800.00,-560.00
174,0.00,-620.00
175,800.00,-600.00
176,0.00,-640.00
177,800.00,-620.00
178,0.00,-640.00
179,400.00,-580.00
180,400.00,-660.00
181,800.00,-620.00
182,400.00,-640.00
183,800.00,-580.00
184,400.00,-620.00
185,400.00,-560.00
186,400.00,-600.00
187,800.00,-500.00
188,400.00,-580.00
189,800.00,-460.00
190,400.00,-520.00
191,400.00,-380.00
192,400.00,-460.00
193,800.00,-300.00
194,400.00,-400.00
195,800.00,-220.00
196,400.00,-320.00
197,800.00,-120.00
198,400.00,-220.00
199,19200.00,-40.00
200,-23200.00,-140.00
201,23600.00,60.00
202,-23600.00,-40.00
203,18000.00,160.00
204,-19200.00,60.00
205,12000.00,240.00
206,-11200.00,160.00
207,5600.00,340.00
208,-3600.00,240.00
209,2400.00,480.00
210,-1200.00,280.00
211,30800.00,480.00
212,-38400.00,400.00
213,30800.00,620.00
214,-33600.00,400.00
215,14400.00,620.00
216,-12000.00,540.00
217,6000.00,680.00
218,-4800.00,600.00
219,3200.00,720.00
220,-1600.00,660.00
221,1600.00,740.00
222,0.00,700.00
223,1200.00,820.00
224,400.00,600.00
225,1200.00,740.00
226,400.00,720.00
227,800.00,740.00
228,400.00,720.00
229,800.00,720.00
230,400.00,700.00
231,1200.00,720.00
232,400.00,660.00
233,1200.00,680.00
234,400.00,620.00
235,800.00,620.00
236,400.00,560.00
237,1200.00,560.00
238,400.00,500.00
239,1200.00,500.00
240,400.00,420.00
241,800.00,420.00
242,400.00,320.00
243,800.00,320.00
244,400.00,240.00
245,800.00,240.00
246,400.00,140.00
247,30800.00,140.00
248,-34000.00,40.00
249,21600.00,40.00
250,-19200.00,-60.00
251,8800.00,-40.00
252,-8000.00,-140.00
253,15600.00,-140.00
254,-8000.00,-240.00
255,14000.00,-180.00
256,-13600.00,-400.00
257,6800.00,-300.00
258,-4800.00,-400.00
259,2800.00,-360.00
260,-1600.00,-540.00
261,1600.00,-440.00
262,-400.00,-520.00
263,12400.00,-480.00
264,-10400.00,-600.00
265,9600.00,-540.00
266,-8800.00,-600.00
267,4400.00,-580.00
268,-3200.00,-640.00
269,1600.00,-620.00
270,-1200.00,-660.00
271,1200.00,-640.00
272,0.00,-660.00
273,800.00,-640.00
274,0.00,-660.00
275,800.00,-620.00
276,0.00,-660.00
277,800.00,-600.00
278,0.00,-640.00
279,800.00,-560.00
280,0.00,-620.00
281,800.00,-500.00
282,0.00,-580.00
283,800.00,-440.00
284,400.00,-520.00
285,800.00,-380.00
286,400.00,-460.00
287,800.00,-280.00
288,400.00,-380.00
289,800.00,-200.00
290,400.00,-280.00
291,23600.00,-100.00
292,-25600.00,-200.00
293,18800.00,0.00
294,-18800.00,-100.00
295,8400.00,100.00
296,-6800.00,0.00
297,20800.00,200.00
298,-18800.00,100.00
299,10400.00,300.00
300,-9600.00,200.00
301,4800.00,420.00
302,-3200.00,300.00
303,22800.00,480.00
304,-23200.00,360.00
305,11600.00,540.00
306,-9600.00,460.00
307,4800.00,600.00
308,-3600.00,520.00
309,2800.00,680.00
310,-800.00,600.00
311,1600.00,720.00
312,0.00,660.00
313,1200.00,780.00
314,400.00,680.00
315,1200.00,760.00
316,400.00,720.00
317,1200.00,760.00
318,400.00,740.00
319,1200.00,780.00
320,800.00,740.00
321,1200.00,760.00
322,400.00,740.00
323,1200.00,740.00
324,400.00,720.00
325,1200.00,720.00
326,400.00,680.00
327,1200.00,680.00
328,400.00,600.00
329,1200.00,620.00
330,400.00,540.00
331,800.00,540.00
332,400.00,480.00
333,800.00,480.00
334,400.00,380.00
335,800.00,380.00
336,400.00,280.00
337,800.00,280.00
338,400.00,200.00
339,30800.00,200.00
340,-33600.00,100.00
341,24800.00,100.00
342,-24800.00,-20.00
