Wavelength [nm],Intensity(a.u.)
181.232,399.7083879
181.576,254.2232727
181.919,200.671394
182.263,67.6596607
182.607,194.6889939
182.950,-4.9902788
183.294,85.82252117
183.637,31.65650908
183.981,97.03563636
184.325,18.84799997
184.668,16.38586668
185.012,-34.69328483
185.355,102.9619151
185.699,-39.71534554
186.043,-82.64792736
186.386,67.79432726
186.730,217.4535515
187.073,276.724194
187.417,3.426496903
187.760,-52.0478061
188.104,22.93774545
188.447,122.7618424
188.791,74.18991502
189.134,-59.8308363
189.478,-28.05524846
189.821,64.78373317
190.165,39.89335744
190.508,-32.55117567
190.851,-58.80964847
191.195,67.49978181
191.538,69.65878781
191.882,70.85185432
192.225,136.1804608
192.569,237.963491
192.912,251.5784971
193.255,374.2063757
193.599,322.2596119
193.942,253.6136971
194.285,-45.89781821
194.629,-23.10147882
194.972,219.0160242
195.315,278.8789091
195.659,185.8518543
196.002,126.6619393
196.345,152.5538909
196.688,260.5448727
197.032,106.6889939
197.375,161.0250424
197.718,64.3403393
198.061,30.81035121
198.405,-75.93389074
198.748,-16.05253335
199.091,102.3114424
199.434,117.3055758
199.777,-29.93774545
200.121,5.513090889
200.464,54.69643636
200.807,79.7246303
201.150,-60.80807273
201.493,-33.72620606
201.836,123.6188606
202.180,154.9596363
202.523,119.6188606
202.866,118.6720969
203.209,165.5514424
203.552,56.68426667
203.895,-44.49233939
204.238,-76.09946662
204.581,70.71990299
204.924,213.0426424
205.267,189.5789333
205.610,203.8813576
205.953,138.6459152
206.296,74.19035153
206.639,-27.78889698
206.982,-14.05682421
207.325,73.87076366
207.668,-22.47903025
208.011,-140.1449939
208.354,-120.5856729
208.697,38.68339396
209.040,69.93013318
209.383,24.7264727
209.726,6.662642161
210.069,30.34734527
210.412,74.86559991
210.755,14.33604844
211.097,84.41318782
211.440,165.2244122
211.783,177.1578667
212.126,31.0207515
212.469,80.45827879
212.812,197.8809212
213.154,321.4907636
213.497,153.6529212
213.840,191.1883394
214.183,241.6509089
214.526,227.9783757
214.868,113.8545694
215.211,-1.096484979
215.554,100.8130666
215.897,113.3536485
216.239,4.029333274
216.582,44.48918784
216.925,34.34506667
217.268,128.9792485
217.610,-2.041502992
217.953,111.1382546
218.296,162.3419151
218.638,73.98152717
218.981,-81.79134544
219.324,-51.18894545
219.666,128.1565577
220.009,186.5690424
220.351,199.422206
220.694,216.6161455
221.037,293.5279757
221.379,114.4594182
221.722,79.70230302
222.064,39.68899394
222.407,188.4285091
222.750,32.80019399
223.092,-77.18063021
223.435,-30.26407282
223.777,186.0857211
224.120,265.9670787
224.462,95.31529695
224.805,49.34191505
225.147,56.84055756
225.490,167.8973818
225.832,124.9463273
226.175,197.9819636
226.517,207.9436121
226.859,110.3216
227.202,-37.39287273
227.544,-68.20567274
227.887,23.86244829
228.229,-47.95306667
228.571,-125.3666909
228.914,-47.43953951
229.256,96.19035153
229.599,264.6251637
229.941,33.96007276
230.283,61.80106676
230.626,30.52683637
230.968,248.6826909
231.310,202.5471514
231.653,266.155418
231.995,258.0841455
232.337,191.8182303
232.679,-20.21898188
233.022,100.5306908
233.364,381.8804847
233.706,357.8256727
234.048,75.67367264
234.391,-42.82181819
234.733,104.5236849
235.075,221.7916121
235.417,176.8660364
235.759,179.7943273
236.102,133.6752484
236.444,-30.07871513
236.786,-182.0176
237.128,-141.5151031
237.470,34.64863028
237.812,42.9616485
238.154,-74.50293333
238.497,-102.3040001
238.839,89.62787879
239.181,120.5879515
239.523,200.5651879
239.865,189.1335273
240.207,264.1249455
240.549,135.7442424
240.891,-12.8209453
241.233,181.1700364
241.575,374.0920242
241.917,296.0203152
242.259,-34.43910304
242.601,-28.88836363
242.943,161.6842667
243.285,279.6869818
243.627,114.9071029
243.969,4.441381852
244.311,59.29997579
244.653,-13.01847283
244.995,-39.21898188
245.337,69.34235153
245.679,257.3689697
246.021,427.3689697
246.362,236.7974788
246.704,218.4684363
247.046,129.4524121
247.388,196.5056484
247.730,-0.544169823
248.072,14.88004835
248.414,83.43393938
248.755,19.16601197
249.097,-31.66753944
249.439,18.0527997
249.781,286.1617211
250.123,226.643903
250.464,-65.80378181
250.806,-107.3673939
251.148,81.84370908
251.490,277.1053333
251.831,121.0054302
252.173,55.73478782
252.515,43.60756361
252.856,-10.62157567
253.198,-97.09832729
253.540,-162.2577697
253.881,-34.81008498
254.223,-14.73408496
254.565,-37.58637576
254.906,-24.10734548
255.248,183.916121
255.590,264.8358304
255.931,116.4163393
256.273,-23.24603637
256.614,-15.61027879
256.956,97.19665458
257.298,-21.77243637
257.639,98.81936979
257.981,124.3026909
258.322,152.7938906
258.664,-126.5985455
259.005,-127.6240243
259.347,92.43823012
259.688,194.9474667
260.030,189.9415999
260.371,98.19936969
260.713,136.4794666
261.054,36.40303024
261.396,-15.30128495
261.737,-41.76385462
262.079,106.1116364
262.420,80.3216
262.761,20.40933335
263.103,-26.41949087
263.444,29.58637576
263.786,177.0254788
264.127,11.9616485
264.468,-14.59180601
264.810,18.59583028
265.151,170.5640485
265.492,133.719903
265.834,143.3854303
266.175,328.0403637
266.516,321.3678304
266.858,140.6357576
267.199,-36.47473939
267.540,-4.586812178
267.881,-29.6213092
268.223,-122.9988606
268.564,-36.0176
268.905,55.89265452
269.246,89.86358778
269.588,-88.42351532
269.929,-102.8547393
270.270,118.1718786
270.611,187.4833212
270.952,87.58952735
271.294,68.31801212
271.635,106.6477572
271.976,191.3536485
272.317,48.29612121
272.658,109.3258909
272.999,132.1163636
273.340,106.1923637
273.681,-66.73250922
274.023,107.9560485
274.364,193.6423272
274.705,258.2169697
275.046,11.63216964
275.387,6.270642459
275.728,165.1073455
276.069,101.8840727
276.410,206.2600484
276.751,241.9071029
277.092,466.5142303
277.433,210.585503
277.774,75.57762416
278.115,127.4526787
278.456,323.9102545
278.797,302.9760969
279.138,169.8613091
279.479,135.9368726
279.820,216.4711515
280.160,266.5193939
280.501,160.4645818
280.842,202.0117333
281.183,145.1617211
281.524,166.1558545
281.865,154.0958787
282.206,183.8827637
282.546,298.4966303
282.887,249.0446545
283.228,251.4343758
283.569,266.4355151
283.910,267.0661093
284.251,177.9368726
284.591,54.93144243
284.932,39.14770905
285.273,308.1653091
285.614,274.8996604
285.954,202.9873938
286.295,148.4476848
286.636,383.9756606
286.976,378.7280483
287.317,306.7025696
287.658,288.0762666
287.999,431.1249455
288.339,231.992994
288.680,65.94632726
289.020,148.1766059
289.361,296.9352969
289.702,249.0214547
290.042,2.06610926
290.383,108.6199998
290.724,181.6129939
291.064,226.5369939
291.405,92.93844843
291.745,189.6035392
292.086,334.8730424
292.426,429.3987394
292.767,283.5667637
293.107,209.2627637
293.448,223.7508121
293.788,290.0884362
294.129,106.1017455
294.469,47.51694536
294.810,57.0527997
295.150,153.0591031
295.491,45.12494545
295.831,88.91384246
296.172,240.1217939
296.512,491.0724121
296.853,467.2553212
297.193,474.9384484
297.533,315.7230545
297.874,264.2318545
298.214,215.1973575
298.554,297.1033212
298.895,379.7311998
299.235,273.2733575
299.576,108.0176
299.916,128.3195879
300.256,359.7332121
300.596,494.4605573
300.937,464.2749333
301.277,363.7724364
301.617,462.4461091
301.958,480.9501819
302.298,452.4727271
302.638,516.4328
302.978,757.7821577
303.318,927.1601454
303.659,976.2052363
303.999,1090.573067
304.339,1386.229139
304.679,1837.15857
305.019,2492.381406
305.360,3816.234133
305.700,6076.371249
306.040,9783.668945
306.380,14770.99055
306.720,21442.32861
307.060,29212.27379
307.400,38813.2632
307.740,48765.63445
308.081,56940.32301
308.421,61248.33518
308.761,62178.99956
309.101,61008.44024
309.441,57399.25532
309.781,50535.75038
310.121,41815.07741
310.461,33104.37239
310.801,25767.93101
311.141,19529.56361
311.481,14571.70931
311.821,11109.42492
312.161,9364.110763
312.501,8591.829964
312.841,8307.410909
313.180,8087.676824
313.520,8396.411176
313.860,8871.873745
314.200,9142.723758
314.540,9014.344194
314.880,8679.487878
315.220,8007.87874
315.560,7139.435781
315.899,6054.325454
316.239,5400.197794
316.579,4702.249454
316.919,4067.386133
317.259,3295.458982
317.599,2991.926279
317.938,2836.759394
318.278,2742.384557
318.618,2324.544436
318.958,2248.976097
319.297,2253.02977
319.637,2265.637333
319.977,2040.546449
320.316,2044.151564
320.656,2151.719903
320.996,2086.965503
321.336,1844.598109
321.675,1528.196655
322.015,1566.281236
322.354,1363.944315
322.694,1337.539273
323.034,1027.746085
323.373,957.4307876
323.713,696.5401455
324.053,642.3635395
324.392,693.2780849
324.732,851.8678788
325.071,695.7264727
325.411,436.1468364
325.750,346.5444364
326.090,338.4179152
326.429,392.7395151
326.769,149.4891878
327.108,388.3144239
327.448,448.3994426
327.787,665.954909
328.127,328.1957816
328.466,312.9427392
328.806,333.3446302
329.145,442.1064727
329.485,321.9607756
329.824,266.5397091
330.163,321.1017455
330.503,314.8157814
330.842,585.4797332
331.182,703.4483879
331.521,978.8949333
331.860,665.3313211
332.200,568.0575273
332.539,380.7124605
332.878,450.2291394
333.218,317.0058667
333.557,284.4041697
333.896,278.2553212
334.236,427.2420121
334.575,373.2388606
334.914,211.5945211
335.253,203.4711515
335.593,367.591806
335.932,581.155418
336.271,732.4100363
336.610,774.8128
336.949,933.0035879
337.289,827.0254788
337.628,660.4206303
337.967,386.839685
338.306,386.9928242
338.645,297.1820362
338.984,133.1229332
339.324,5.166448474
339.663,180.5545939
340.002,244.1459635
340.341,149.0922906
340.680,19.58707865
341.019,97.5988121
341.358,202.7754183
341.697,328.7269091
342.036,415.0787151
342.375,597.9490424
342.714,471.0888727
343.053,296.4386666
343.392,160.3047029
343.731,280.2036606
344.070,323.9936969
344.409,276.7688485
344.748,211.6826909
345.087,423.0191757
345.426,577.5640485
345.765,531.7187636
346.104,548.5683394
