Wavelength [nm],Intensity(a.u.)
181.232,344.0383486
181.576,174.3744211
181.919,108.5182283
182.263,60.30541915
182.607,230.3374421
182.950,66.84438877
183.294,140.055306
183.637,143.8488225
183.981,192.611883
184.325,134.5160115
184.668,73.98304255
185.012,1.784451629
185.355,91.0462412
185.699,-59.74505836
186.043,-94.09260995
186.386,96.44479267
186.730,218.7767564
187.073,287.309203
187.417,-33.41224736
187.760,-28.79814755
188.104,37.83923533
188.447,152.2895064
188.791,38.60555732
189.134,-59.00358642
189.478,-78.79951715
189.821,50.98682641
190.165,-2.027716776
190.508,8.92519476
190.851,11.57901275
191.195,146.179939
191.538,120.3585083
191.882,108.087329
192.225,148.5691007
192.569,277.4412062
192.912,267.4050745
193.255,392.0032615
193.599,289.4343582
193.942,266.7101687
194.285,-2.349246114
194.629,23.46396696
194.972,248.0909154
195.315,324.9429994
195.659,247.4206623
196.002,140.1484383
196.345,147.8912798
196.688,248.1616119
197.032,96.33744211
197.375,139.1539167
197.718,19.02791419
198.061,27.86904143
198.405,-98.26791779
198.748,19.68362412
199.091,126.9693466
199.434,154.362942
199.777,-42.505902
200.121,30.78771314
200.464,63.00547837
200.807,123.9493251
201.150,-36.69268893
201.493,41.32237659
201.836,182.2018524
202.180,225.203222
202.523,174.2018524
202.866,183.9662825
203.209,174.549404
203.552,64.15254711
203.895,-42.84523605
204.238,-36.16761263
204.581,111.0977634
204.924,317.6397972
205.267,280.0451966
205.610,309.2848753
205.953,191.0575229
206.296,134.2456794
206.639,-25.14517681
206.982,-49.52781548
207.325,-7.506424333
207.668,-21.23746185
208.011,-150.122741
208.354,-111.2651787
208.697,-25.12769707
209.040,41.6723424
209.383,36.15222222
209.726,38.26315922
210.069,41.05582837
210.412,84.6685586
210.755,41.48314125
211.097,187.9799784
211.440,269.7959307
211.783,267.0903931
212.126,42.94247711
212.469,68.62831807
212.812,229.6447532
213.154,440.450271
213.497,309.4187704
213.840,323.5439257
214.183,364.05035
214.526,386.1106121
214.868,267.2371369
215.211,169.1234607
215.554,213.0188494
215.897,192.3023551
216.239,42.69868961
216.582,82.38863937
